County  Code,County  Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Candidate Surname,Candidate Other Names,Party Code,Political  Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
35,Kericho,188,Kipkelion East,937,Kedowa/Kimugul,Koech,Jonah  Kipsang,Ind,Independent,IND,IND_CAW937_02,IND_CAW937_02
35,Kericho,188,Kipkelion East,937,Kedowa/Kimugul,Koech,Stanley Kiprono,Ind,Independent,IND,IND_CAW937_03,IND_CAW937_03
35,Kericho,188,Kipkelion East,937,Kedowa/Kimugul,Richard,Cheruiyot Langat,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,188,Kipkelion East,938,Chepseon,Alfred,Cheruiyot,Ind,Independent,IND,IND_CAW938_01,IND_CAW938_01
35,Kericho,188,Kipkelion East,938,Chepseon,Chepngeno,Jackline,31,Kenya Patriots Party,KPP,KPP,31
35,Kericho,188,Kipkelion East,938,Chepseon,David,Maritim Kipkorir,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,188,Kipkelion East,938,Chepseon,Langat,Richard Kipkoech,Ind,Independent,IND,IND_CAW938_02,IND_CAW938_02
35,Kericho,188,Kipkelion East,938,Chepseon,Sigey,John  Kipngetich,13,Democratic Party Of Kenya,DP,DP,13
35,Kericho,188,Kipkelion East,938,Chepseon,Soi,Joseph Kiplangat,Ind,Independent,IND,IND_CAW938_03,IND_CAW938_03
35,Kericho,188,Kipkelion East,939,Tendeno/Sorget,Hendricks,Samuel Kaptich Arap   Towet,Ind,Independent,IND,IND_CAW939_01,IND_CAW939_01
35,Kericho,188,Kipkelion East,939,Tendeno/Sorget,Kariuki,Maingi  Gabriel,Ind,Independent,IND,IND_CAW939_02,IND_CAW939_02
35,Kericho,188,Kipkelion East,939,Tendeno/Sorget,Macharia,Benjamin,Ind,Independent,IND,IND_CAW939_03,IND_CAW939_03
35,Kericho,188,Kipkelion East,939,Tendeno/Sorget,Moses,Rotich Cheruiyot,15,United Democratic Alliance,UDA,UDA,15
35,Kericho,189,Kipkelion West,940,Kunyak,Kemei,Hillary Cheruiyot,54,Chama Cha Mashinani,CCM,CCM,54
35,Kericho,189,Kipkelion West,940,Kunyak,Kipngetich,Hassan Muti,62,Amani National Congress,ANC,ANC,62
